,PubChem CID
1453,16129616
1454,16129629
1455,16129665
1456,16129672
1457,16129674
1458,16129682
1459,16129688
1460,16129690
1461,16129703
1462,16129704
1463,16130199
1464,16130295
1465,16130965
1466,16131215
1467,16131310
1468,16131923
1469,16132265
1470,16132283
1471,16132344
1472,16132418
1473,16132438
1474,16132441
1475,16132446
1476,16133802
1477,16134956
1478,16136245
1479,16136912
1480,16137271
1481,16139342
1482,16157882
1483,16213095
1484,16220172
1485,17754356
1486,19371515
1487,22451303
1488,23652731
1489,23668479
1490,23689036
1491,23690938
1492,24776445
1493,24812758
1494,24821094
1495,24822371
1496,24826799
1497,24838347
1498,24846132
1499,24847741
1500,24847863
1501,24847874
1502,24873435
1503,24965990
1504,25074470
1505,25074886
1506,25077179
1507,25077594
1508,25077649
1509,25077993
1510,25081014
1511,25102847
1512,25126797
1513,25151504
1514,25181561
1515,25244225
1516,26275995
1517,27885548
1518,42611257
1519,44146714
1520,44201342
1521,44201343
1522,44462760
1523,44564107
1524,44564722
1525,44567678
1526,45267081
1527,45375808
1528,45487623
1529,46216142
1530,49800003
1531,49800046
1532,51508717
1533,51601240
1534,53320414
1535,53477714
1536,53627505
1537,54671203
1538,54675779
1539,54676537
1540,54684141
1541,54686183
1542,54686904
1543,54687131
1544,56603655
1545,56841124
1546,56842239
1547,57396865
1548,70683012
1549,70683023
1550,70683024
1551,70685014
1552,70695640
1553,70788982
1554,71306410
1555,71306834
1556,71306891
